Flow Time,Lift Coeff,Tip Displacement
0,0.5307768857263266,10.49
1,0.5163861977585437,54.33
2,0.4955823705426474,140.87
3,0.48540995063645764,258.92
4,0.47466391392403057,394.73
5,0.46468927671679733,538.51
6,0.45592247637183786,682.85
7,0.4483597545480794,822.39
8,0.4418470192615367,953.49
9,0.4362414535514431,1073.88
10,0.4314148040286891,1182.28
11,0.42727968926333176,1278.23
12,0.42374543927698965,1361.8
13,0.42072185388391536,1433.51
14,0.41811967248362975,1494.12
15,0.4152501790745406,1544.55
16,0.41344100764061753,1585.76
17,0.4118502897815514,1618.81
18,0.41042634830759117,1644.82
19,0.40914569358703173,1664.84
20,0.40797872868392476,1679.82
21,0.40690337334446747,1690.63
22,0.40590224524119817,1698.02
23,0.40496265997299613,1702.67
24,0.40407287272400877,1705.13
25,0.4032234876415541,1705.91
26,0.4024074578361206,1705.39
27,0.40162431351507416,1703.91
28,0.4008717057152443,1701.75
29,0.4001505740218992,1699.12
30,0.39945950905713656,1696.2
31,0.3987975712356882,1693.11
32,0.3981666397280905,1689.97
33,0.39756107702273424,1686.84
34,0.3969808831196195,1683.8
35,0.39642511843347794,1680.86
36,0.3958970715127484,1678.07
37,0.3953958027721626,1675.43
38,0.3949227215896228,1672.95
39,0.3944792373430315,1670.63
40,0.39406769899555893,1668.46
41,0.3936857575840348,1666.45
42,0.39333482248636137,1664.58
43,0.39301630308044083,1662.84
44,0.3927320785368097,1661.23
45,0.39247839051439515,1659.75
46,0.39225429942792894,1658.38
47,0.39205886569214293,1657.13
48,0.39189021013650066,1655.97
49,0.3917445744199293,1654.92
50,0.3916172606160879,1653.97
51,0.391505919761806,1653.1
52,0.3914067935160107,1652.32
53,0.3913175329155315,1651.61
54,0.3912348494119297,1650.97
55,0.3911568638346689,1650.4
56,0.39108263659848097,1649.89
57,0.3910135770812681,1649.43
58,0.3909501550756645,1649.03
59,0.39089377995957236,1648.67
60,0.39084774028143043,1648.34
61,0.3908143850044093,1648.05
62,0.39079559329904523,1647.79
63,0.39079183495797243,1647.55
64,0.39080170060328856,1647.34
65,0.3908237808570913,1647.15
66,0.3908552569635761,1646.99
67,0.39089331016693823,1646.85
68,0.39093418212610503,1646.74
69,0.39097834263371056,1646.66
70,0.39102720106765704,1646.62
71,0.39108639493955377,1646.61
72,0.39116250134627817,1646.63
73,0.391263976555244,1646.69
74,0.39140021641913325,1646.78
75,0.39157403969375065,1646.87
76,0.3917821578306574,1646.97
77,0.39202034269614666,1647.07
78,0.392282486985975,1647.17
79,0.392561543810631,1647.28
80,0.3928528152437737,1647.39
81,0.39315160335906196,1647.51
82,0.3934550894006912,1647.64
83,0.3937670317097343,1647.77
84,0.39409259800516633,1647.92
85,0.3944411841396693,1648.08
86,0.3948250047217298,1648.26
87,0.3952548649819323,1648.44
88,0.3957434493213974,1648.64
89,0.3963015629707094,1648.86
90,0.3969334340635753,1649.1
91,0.39764141156316557,1649.36
92,0.39842972360318707,1649.65
93,0.3993091754142242,1649.97
94,0.40030701496905485,1650.31
95,0.4014659933973821,1650.7
96,0.40284859311954146,1651.12
97,0.40453232992015953,1651.58
98,0.4065980081323018,1652.09
99,0.40912314354059487,1652.65
100,0.4121627018832286,1653.27
101,0.4157378238287375,1653.97
102,0.4198264291233188,1654.74
103,0.42435757907922333,1655.61
104,0.42921664429373035,1656.6
105,0.4342476536123183,1657.73
106,0.4392561128844695,1659.02
107,0.4439967903551831,1660.5
108,0.4481135832078104,1662.22
109,0.45047804953524095,1664.2
110,0.4569687045679809,1666.49
111,0.47466767226510337,1669.13
112,0.5008604907867725,1672.17
113,0.5273732380922646,1675.64
114,0.5462194394018618,1679.58
115,0.5484279345747708,1684.02
116,0.5296785105477984,1688.97
117,0.49555136422879675,1694.34
118,0.4592533061476142,1699.86
119,0.43225996097743685,1705.33
120,0.41517313308254805,1710.92
121,0.4042373001459441,1716.93
122,0.3986777741139924,1723.21
123,0.39683148906197535,1729.39
124,0.3964316955303554,1735.24
125,0.39764657928214064,1740.66
126,0.4001829897136522,1745.6
127,0.4032018771803854,1749.99
128,0.40597882144055664,1753.79
129,0.40810369352459563,1757.03
130,0.40941723372954214,1759.71
131,0.4099274285301759,1761.88
132,0.4097113239184894,1763.59
133,0.4089018712099333,1764.89
134,0.4076738332643932,1765.82
135,0.4062198250618505,1766.41
136,0.40470286464633826,1766.67
137,0.40325261478486835,1766.62
138,0.4019414235430923,1766.26
139,0.400805464953836,1765.61
140,0.3998517859066109,1764.67
141,0.3990752186824419,1763.45
142,0.39846448825811054,1761.96
143,0.3980097289883008,1760.21
144,0.3977010752276964,1758.21
145,0.3975216144414698,1755.96
146,0.3974497361684523,1753.48
147,0.39746429974010944,1750.78
148,0.39754134573210204,1747.86
149,0.3976597334758955,1744.76
150,0.3978002014734917,1741.47
151,0.39794865594586765,1738.01
152,0.3980905333213661,1734.4
153,0.39822583359998726,1730.66
154,0.3983493890627558,1726.8
155,0.39845885074650134,1722.85
156,0.39855609782176027,1718.83
157,0.39864535842223947,1714.76
158,0.39873227005954814,1710.65
159,0.3988248192084661,1706.53
160,0.3989262944174319,1702.42
161,0.39904186340542075,1698.33
162,0.399173405342969,1694.28
163,0.39931810147427216,1690.28
164,0.39947360283615957,1686.36
165,0.39963568129492444,1682.54
166,0.39980198788739624,1678.81
167,0.3999692340651362,1675.21
168,0.4001355406576079,1671.73
169,0.4003004378721774,1668.4
170,0.40046251633094226,1665.22
171,0.4006222458265366,1662.2
