Flow Time,Lift Coeff,Tip Displacement
0,0.5295455592323478,8.06
1,0.5105640576441295,43.63
2,0.47961458870218726,122.26
3,0.46275420085693514,248.87
4,0.445791398217449,422.29
5,0.42949711049628864,635.85
6,0.4147432728223456,878.22
7,0.40177699612115697,1135.56
8,0.39067062845837436,1393.45
9,0.3814861824616991,1638.5
10,0.37431996562112185,1859.48
11,0.3692602989518537,2047.95
12,0.3663034241128218,2198.56
13,0.3653638388446197,2308.81
14,0.36550477663485004,2378.69
15,0.36846212126651606,2410.14
16,0.372618846493042,2406.78
17,0.37760569530402455,2373.35
18,0.3830895847218859,2315.17
19,0.38785985912854787,2237.81
20,0.39332213808524064,2146.72
21,0.39850395083937507,2047.21
22,0.40317556879287575,1944.28
23,0.4071730343164415,1842.44
24,0.41037514091047417,1745.63
25,0.4127053123756153,1657.11
26,0.41413489136118475,1579.43
27,0.41468360915781477,1514.4
28,0.41440831067423156,1463.13
29,0.4138440897206762,1426.08
30,0.4119921671570499,1403.1
31,0.40965447900976315,1393.44
32,0.40697619120275313,1395.86
33,0.40408461753986125,1408.74
34,0.4011089509954653,1430.24
35,0.3981680491059928,1458.38
36,0.3953685547993847,1491.15
37,0.39279690992031563,1526.58
38,0.39052358336390075,1562.86
39,0.38859790335672056,1598.34
40,0.38704899704208945,1631.61
41,0.3858876696505917,1661.54
42,0.3851129815969591,1687.25
43,0.3847052015905594,1708.18
44,0.3846295649764691,1724.02
45,0.3848480185513261,1734.72
46,0.38530982471064745,1740.47
47,0.38596236667941375,1741.62
48,0.3867534974752399,1738.69
49,0.38762449301886326,1732.3
50,0.3885227365352644,1723.15
51,0.38940453730947205,1711.94
52,0.3902332515160263,1699.41
53,0.39098069159688104,1686.23
54,0.3916257168835018,1673.03
55,0.39215705235267007,1660.37
56,0.3925681209075084,1648.69
57,0.3928593923406511,1638.36
58,0.3930350947858049,1629.65
59,0.39310509388828596,1622.7
60,0.39308019487867857,1617.61
61,0.39297308215810356,1614.34
62,0.39279784950558383,1612.82
63,0.3925690604927767,1612.89
64,0.39229986931343674,1614.36
65,0.3920043697465872,1617.0
66,0.3916961857786169,1620.57
67,0.39138894139591485,1624.8
68,0.3910957907922358,1629.44
69,0.3908209621012867,1634.23
70,0.390599219977991,1638.96
71,0.39043620193395795,1643.49
72,0.3903427131997718,1647.65
73,0.3903253308723101,1651.32
74,0.390376068476793,1654.57
75,0.3903826455736704,1657.62
76,0.3904300946297146,1660.6
77,0.39053297921658275,1663.48
78,0.3906729774215449,1666.26
79,0.39084163297718716,1668.93
