Flow Time,Lift Coeff,Tip Displacement
0,0.5290132841779113,6.4
1,0.5076673162622625,34.28
2,0.47050202097852944,97.11
3,0.4494308817538297,204.04
4,0.4297977777821133,362.58
5,0.41228108962702203,577.76
6,0.39738208602914177,852.12
7,0.3849842584152154,1182.68
8,0.3745919755562664,1554.78
9,0.36507961430098856,1938.66
10,0.3559346308855778,2294.35
11,0.34826150779280557,2584.25
12,0.34330942363674655,2785.51
13,0.33963282648227183,2893.49
14,0.3391343764974906,2916.16
15,0.3415744794390114,2866.57
16,0.34902726978639026,2759.23
17,0.3602374616213092,2610.28
18,0.3730726661775836,2437.73
19,0.3864349780693194,2259.59
20,0.4004164766528004,2091.24
21,0.41333389492004247,1942.57
22,0.42256954831383475,1815.23
23,0.42836162169966646,1702.4
24,0.4332493442648536,1593.58
25,0.4374967394697611,1481.65
26,0.43860873863467825,1366.56
27,0.4360469594009253,1253.41
28,0.4326761972512504,1149.28
29,0.43018347753471026,1063.34
30,0.4267023141160216,1007.56
31,0.42065561312250715,993.06
32,0.4145985766910425,1023.17
33,0.41123345205297673,1090.96
34,0.40649042561909265,1185.0
35,0.3988008597841269,1296.95
36,0.3901613732430088,1422.26
37,0.38352273353052707,1554.19
38,0.37808582337607577,1680.02
39,0.3717497301199551,1785.13
40,0.3660464475419685,1860.82
41,0.3634160785836368,1907.57
42,0.36538450972052017,1932.11
43,0.36709549449391615,1942.7
44,0.3680543412601163,1946.19
45,0.3712846354121951,1946.41
46,0.3773125447003455,1943.59
47,0.3827372402463102,1935.56
48,0.38570914844963333,1920.22
49,0.38817274102285915,1896.63
50,0.3913541767409914,1863.91
51,0.3933531443990913,1820.79
52,0.39320375034144717,1767.15
53,0.39336582880021204,1705.59
54,0.3953013744527083,1640.29
55,0.39829113477612726,1575.26
56,0.39977051178091144,1514.73
57,0.40076600237257154,1464.43
58,0.40349737674723496,1430.8
59,0.40576083765833376,1417.93
60,0.4055503705582565,1425.47
61,0.40349361840616216,1448.94
62,0.4018789411227569,1481.41
63,0.40040097349587506,1515.46
64,0.3968986694086518,1546.06
65,0.3916750451100824,1572.42
66,0.387418723845127,1596.37
67,0.38501432514379785,1618.3
68,0.3828265008467894,1635.9
69,0.38046485327516344,1647.91
70,0.37991660527116755,1657.48
71,0.381918391685072,1670.13
72,0.3842598381734316,1688.35
73,0.3852229130733387,1709.87
74,0.3854390176850252,1731.6
75,0.38610377426227815,1752.88
76,0.38786220809171834,1774.12
77,0.3899955364431712,1795.32
78,0.3913457204735776,1815.96
79,0.39162430750559946,1835.26
80,0.39143920920776365,1852.54
81,0.39166423987949806,1867.48
82,0.3925728188338495,1880.02
83,0.3936073022141399,1890.15
84,0.393998169685712,1897.82
85,0.3934992499082967,1902.95
86,0.39251268537668454,1905.35
87,0.3916712867690096,1904.75
88,0.3914509540236162,1901.01
89,0.39198041032224806,1894.34
90,0.3929608675496169,1885.21
91,0.3937313274695426,1873.94
92,0.39371300555681266,1860.51
93,0.3930303968594639,1844.95
94,0.3925653021517038,1827.82
95,0.3931858982213513,1810.09
96,0.39482359534382755,1792.54
97,0.39655525099312394,1775.24
98,0.39760288856716924,1757.83
99,0.39833670466163507,1740.04
100,0.3997784982556912,1722.11
101,0.4026550385542918,1704.44
102,0.4068728368232509,1687.2
103,0.4118521689520878,1670.21
104,0.41702176709773564,1653.43
105,0.42208848065651533,1637.41
106,0.4271044566108121,1623.23
107,0.4322994235587013,1611.77
108,0.4376574085506237,1603.24
109,0.44173943674832755,1597.29
110,0.4498142325432562,1593.4
111,0.4684898991266747,1591.2
112,0.495185395766832,1590.6
113,0.5221378689778426,1591.77
114,0.5413866825748644,1595.08
115,0.5442171831953232,1600.69
116,0.5268926402275792,1608.33
117,0.49497117032568194,1617.29
118,0.46094831797145075,1626.89
119,0.43587736426001483,1636.9
120,0.42020367260850194,1647.59
121,0.41026473964146043,1659.24
122,0.4055649341299136,1671.59
123,0.4044336734669983,1683.76
124,0.4044374318080711,1694.81
125,0.4060023110722617,1704.12
126,0.40932703354379474,1711.63
127,0.41363926013220814,1717.72
128,0.4176855840897204,1723.03
129,0.42047380337311,1728.25
130,0.42178969254122706,1733.86
131,0.42195834809686933,1739.9
132,0.42132741658927164,1745.92
133,0.4200866942426108,1751.28
134,0.41844242002325716,1755.57
135,0.41657828285114423,1758.8
136,0.4145168327727089,1761.18
137,0.41218149358859263,1762.68
138,0.4096789082267364,1762.83
139,0.4073764545270072,1760.87
140,0.4055996987848371,1756.01
141,0.40428991692096344,1748.01
142,0.40322113867838355,1737.36
143,0.40223128559833266,1725.18
144,0.40121512413077215,1712.72
145,0.40004205192342185,1700.79
146,0.3987059616720385,1689.71
147,0.39755403013322277,1679.5
148,0.39695410493947575,1670.22
149,0.39673847012042335,1662.08
150,0.396304381726514,1655.37
151,0.3953901652605534,1650.27
152,0.3943566214655311,1646.71
153,0.3936899857177417,1644.45
154,0.3934165664046949,1643.07
155,0.3933108630620222,1642.22
156,0.39334421833904337,1641.84
157,0.3936669658786708,1642.19
158,0.394211925334228,1643.73
159,0.39471319407481376,1646.79
160,0.3950462770523914,1651.34
161,0.39533472972972944,1656.91
162,0.3957669389531024,1662.78
163,0.39645753412523094,1668.35
164,0.39741638089143116,1673.41
165,0.39846354867284234,1678.24
166,0.399303537902615,1683.35
167,0.3998461483950017,1689.07
168,0.40041412768962986,1695.33
169,0.40139129636856,1701.71
170,0.40265738751746233,1707.82
171,0.40373556161272417,1713.51
