Flow Time,Lift Coeff,Tip Displacement
0,0.522739673342126,9.72
1,0.5062288112166451,51.96
2,0.4807632316925643,141.11
3,0.4682939955982546,273.88
4,0.45532771889706597,439.86
5,0.4426010364392689,627.56
6,0.43107373457633175,826.08
7,0.42111694948919437,1025.93
8,0.4128420220321387,1219.38
9,0.406222174025021,1400.43
10,0.4010624415246893,1564.74
11,0.3971697397585281,1709.43
12,0.39409729593150733,1832.78
13,0.3916515554783773,1934.0
14,0.38990486646478967,2013.09
15,0.38817462019339555,2070.76
16,0.38803462198843347,2108.37
17,0.3882549547338268,2127.86
18,0.3887938068851407,2131.53
19,0.38949473749521946,2121.83
20,0.39029479435109354,2101.22
21,0.3911314950324275,2072.11
22,0.3918488683846998,2036.75
23,0.3924553706753242,1997.21
24,0.39297308215810356,1955.36
25,0.39338321112767377,1912.82
26,0.3936754221460846,1870.98
27,0.39383750060484946,1830.99
28,0.3938600506512863,1793.74
29,0.3937571660644182,1759.91
30,0.3935246187105382,1729.92
31,0.39319106594032643,1704.03
32,0.3927691921549037,1682.33
33,0.3922669838290497,1664.76
34,0.39170980976500586,1651.13
35,0.3911075356080883,1641.19
36,0.39048271140473395,1634.6
37,0.38984567259289293,1630.96
38,0.38920628481788144,1629.87
39,0.3885748835176496,1630.89
40,0.387967441641757,1633.62
41,0.38739194566498325,1637.64
42,0.38686201957371724,1642.6
43,0.3863856498427388,1648.15
44,0.3859647156425843,1654.01
45,0.38559733780271727,1659.92
46,0.38528116735996726,1665.67
47,0.38501150638799325,1671.09
48,0.38477989861938144,1676.07
49,0.3845821159204249,1680.49
50,0.38441252077951443,1684.32
51,0.3842650058924067,1687.51
52,0.3841353431253948,1690.07
53,0.3840249418563811,1692.01
54,0.3839394395969747,1693.38
55,0.3838750780061029,1694.21
56,0.38382715915742455,1694.56
57,0.3837923945025011,1694.51
58,0.3837660861149914,1694.11
59,0.383745415239091,1693.43
60,0.38372662353372694,1692.55
61,0.3837068922430947,1691.51
62,0.38368622136719427,1690.37
63,0.3836627317354892,1689.19
64,0.383634074384809,1688.0
65,0.38360259827832427,1686.83
66,0.3835678336234008,1685.73
67,0.3835302502126727,1684.7
68,0.3834907876314082,1683.77
69,0.38344944587960733,1682.95
70,0.38341045309097693,1682.24
71,0.38337568843605346,1681.64
72,0.3833465612927392,1681.15
73,0.38332307166103413,1680.77
74,0.3833113268451816,1680.47
75,0.38332448103893646,1680.2
76,0.3833498498411779,1679.94
77,0.38338132594766267,1679.7
78,0.38341796977312254,1679.47
79,0.38345320422068013,1679.25
80,0.383485150119799,1679.05
81,0.38351286788521094,1678.87
82,0.38353212938320913,1678.7
83,0.38353964606535473,1678.56
84,0.3835354179316478,1678.43
85,0.38352179394525887,1678.32
86,0.38350018348409026,1678.23
87,0.3834738750965806,1678.17
88,0.3834499156722414,1678.12
89,0.38343347293004787,1678.09
90,0.3834301843816092,1678.09
91,0.38344286878272993,1678.11
92,0.38347246571867827,1678.15
93,0.38351709601891787,1678.21
94,0.3835730013423759,1678.29
95,0.38363736293324774,1678.38
96,0.3837059526578265,1678.5
97,0.3819705386674573,1678.65
98,0.38192449898931535,1678.82
99,0.38251126998930757,1679.03
100,0.38462157850168943,1679.31
101,0.38632128825186696,1679.67
102,0.3847991601173796,1680.11
103,0.381708864170263,1680.58
104,0.37859836713988004,1681.0
105,0.37585101981565716,1681.23
106,0.3732399123553236,1681.14
107,0.37072135404390794,1680.59
108,0.36843440350110407,1679.47
109,0.36646315360841614,1677.68
110,0.3648667982377408,1675.15
111,0.3636509749006873,1671.81
112,0.3627842074907709,1667.62
113,0.36221059068453354,1662.56
114,0.3618760983290536,1656.59
115,0.36175630120735786,1649.73
116,0.36185683683105546,1641.98
117,0.3621979062834128,1633.37
118,0.36279830126979395,1623.91
119,0.36367305515449005,1613.66
120,0.36483203358281735,1602.64
121,0.3662681896652642,1590.9
122,0.3679481681248095,1578.48
123,0.36983579492862745,1565.44
124,0.37191227837135404,1551.84
125,0.3741696319782095,1537.74
126,0.3765914130070004,1523.21
127,0.3791320515722188,1508.31
128,0.3817154412671404,1493.11
129,0.38391266141683095,1477.69
130,0.39074579527983055,1462.12
131,0.40709786749498533,1446.47
132,0.4304648833225368,1430.83
133,0.45617992273532526,1415.26
134,0.47907244800243465,1399.85
135,0.4937506490622875,1384.68
136,0.5003653293504301,1369.84
137,0.4933508555306675,1355.38
138,0.4710103366086268,1341.22
139,0.440602068781169,1327.14
140,0.4080759757591837,1313.13
141,0.38042914903497177,1299.46
142,0.36259394147396,1286.43
143,0.35383371822587795,1274.16
144,0.35259628442765584,1262.57
145,0.35572792212657334,1251.57
146,0.3595167997205982,1241.22
147,0.3628119252561829,1231.67
148,0.36529243036423636,1223.03
149,0.36705368294948115,1215.33
150,0.36834890124169767,1208.57
151,0.3694054648757909,1202.69
152,0.37037605645784366,1197.6
153,0.3713499365883351,1193.25
154,0.37235482303267725,1189.56
155,0.3733211864810231,1186.46
156,0.3741405048348953,1183.92
157,0.37475969152664046,1181.88
158,0.37517780697099035,1180.32
159,0.37544746794296435,1179.21
160,0.37561941204704535,1178.53
161,0.37572746435288856,1178.29
162,0.3757937051142968,1178.48
163,0.3758345770734636,1179.11
164,0.3758674625578507,1180.2
165,0.37589611990853083,1181.74
166,0.3759299449781861,1183.74
167,0.37596846797418243,1186.22
168,0.376008400348081,1189.18
169,0.3760431650030045,1192.62
170,0.3760666546347095,1196.54
171,0.37607370152422104,1200.93
172,0.3760675942199777,1205.8
173,0.3760488025146137,1211.14
174,0.37601027951861743,1216.93
175,0.37593840124559996,1223.16
176,0.3758124968196609,1229.82
177,0.3756142443280702,1236.87
178,0.37533565729604834,1244.3
179,0.37497955447939973,1252.06
180,0.374552982767636,1260.14
181,0.3740653380134391,1268.49
182,0.37353071399583215,1277.07
183,0.3729660232496427,1285.84
184,0.3723928762360394,1294.76
185,0.37182066880770437,1303.79
186,0.3712503405499057,1312.89
187,0.37068518001108214,1322.0
188,0.3701336434586475,1331.09
189,0.36960512674528384,1340.11
190,0.3691010392488935,1349.02
191,0.3686185622136717,1357.78
192,0.3681605143954232,1366.35
193,0.36772924475731844,1374.69
194,0.36732287412882103,1382.76
195,0.3669362347909559,1390.52
196,0.3665679173658207,1397.95
197,0.3662169822681472,1405.02
198,0.3658810805347649,1411.7
199,0.3655592725804057,1417.97
200,0.3652586052945811,1423.8
201,0.36498377660363196,1429.19
202,0.3647333771296561,1434.1
203,0.3645008297757761,1438.54
204,0.36428801371252834,1442.5
205,0.3641015060367902,1445.96
206,0.36394365571173226,1448.92
207,0.363807415847843,1451.39
208,0.363686679140879,1453.35
209,0.36358379455401085,1454.83
210,0.3635058089767501,1455.81
211,0.3634522526164626,1456.31
212,0.36342171609524604,1456.34
213,0.3634095014867594,1455.91
214,0.36342265568051424,1455.03
215,0.3634602390912423,1453.72
216,0.36352225171894365,1451.99
217,0.3636101029415205,1449.85
218,0.3637219135884366,1447.33
219,0.3638520461480826,1444.44
220,0.3639990912425562,1441.2
221,0.36416774679819847,1437.63
222,0.3643636503266186,1433.76
223,0.3645806945235733,1429.6
224,0.3648127720848192,1425.18
225,0.36505847363245403,1420.52
226,0.36532343667808703,1415.64
227,0.36560719142908404,1410.57
228,0.3658979930695926,1405.33
229,0.36618973429536933,1399.95
230,0.36648241510641427,1394.45
231,0.36677932405116614,1388.86
232,0.367080930922259,1383.2
233,0.36738159820808364,1377.5
234,0.3676794467381037,1371.77
235,0.3659609452825621,1366.04
